Date,Name,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,SoTA,GA,Saves,Save%,CS,PSxG,PKatt,PKA,PKsv,PKm,Cmp,PassAttemptedLong,Cmp%,PassAtt,Thr,Launch%,AvgLen,GoalKickAtt,GKLaunch%,GKAvgLen,Opp,Stp,Stp%,#OPA,AvgDist
2022-03-05,Illan Meslier,Matchweek 28,Away,L 0–1,Leeds United,Leicester City,Y,GK,90,4,1,3,75,0,0.9,0,0,0,0,5,6,83.3,35,14,17.1,24.7,1,0,31,4,0,0,0,14.4
2022-03-13,Illan Meslier,Matchweek 29,Home,W 2–1,Leeds United,Norwich City,Y,GK,90,4,1,3,75,0,0.9,0,0,0,0,7,21,33.3,25,4,64,43,5,100,68.2,5,0,0,1,13.3
2022-03-18,Illan Meslier,Matchweek 30,Away,W 3–2,Leeds United,Wolves,Y,GK,54,4,2,2,50,0,1.8,0,0,0,0,1,9,11.1,15,2,53.3,40.7,2,50,35.5,3,0,0,2,31
2022-04-02,Illan Meslier,Matchweek 31,Home,D 1–1,Leeds United,Southampton,Y,GK,90,5,1,4,80,0,1.5,0,0,0,0,5,14,35.7,31,7,32.3,31.9,4,100,59,11,2,18.2,0,11.5
2022-04-09,Illan Meslier,Matchweek 32,Away,W 3–0,Leeds United,Watford,Y,GK,90,1,0,1,100,1,0.9,0,0,0,0,5,16,31.3,21,0,42.9,36.2,7,100,64.4,10,2,20,1,14
2021-12-30,Wayne Hennessey,Matchweek 20,Away,L 1–3,Burnley,Manchester Utd,Y,GK,90,6,3,3,50,0,2,0,0,0,0,10,24,41.7,24,4,70.8,54.4,8,87.5,68.5,10,0,0,1,16.8
2022-01-02,Wayne Hennessey,Matchweek 21,Away,L 1–3,Burnley,Leeds United,Y,GK,90,7,3,4,57.1,0,2.2,0,0,0,0,16,41,39,35,4,80,60.2,13,100,70.7,10,1,10,2,15.4
2021-08-14,Emiliano Martínez,Matchweek 1,Away,L 2–3,Aston Villa,Watford,Y,GK,90,7,3,4,57.1,0,1.1,0,0,0,0,6,9,66.7,26,9,23.1,28.8,7,42.9,42.9,4,0,0,1,15.7
2021-08-21,Emiliano Martínez,Matchweek 2,Home,W 2–0,Aston Villa,Newcastle Utd,Y,GK,90,1,0,1,100,1,0,0,0,0,0,5,12,41.7,13,0,30.8,40.7,10,80,53,14,1,7.1,2,26.5
2021-08-28,Emiliano Martínez,Matchweek 3,Home,D 1–1,Aston Villa,Brentford,Y,GK,90,2,1,1,50,0,1.1,0,0,0,0,8,19,42.1,28,4,53.6,43.2,7,57.1,47.4,7,1,14.3,1,13.9
2021-09-18,Emiliano Martínez,Matchweek 5,Home,W 3–0,Aston Villa,Everton,Y,GK,90,1,0,1,100,1,0,0,0,0,0,8,16,50,29,6,37.9,35.4,12,41.7,37.1,7,2,28.6,3,21
